Fracionamento	Réplica	Tempo(s)	Memória(MB)	Disco(MB)	CPU(%)	Rede(MB)
5%	1	19.06	771.4	7424.36	14.42	36.86
5%	2	19.06	777.71	7424.4	14.53	36.86
5%	3	19.06	761.71	7424.44	14.57	36.86
5%	4	19.06	744.95	7424.49	14.62	36.86
5%	5	19.06	739.59	7424.54	14.6	36.86
15%	1	23.08	790.51	7424.59	15.33	36.86
15%	2	22.06	800.07	7424.63	15.73	36.86
15%	3	22.07	770.96	7424.68	15.68	36.86
15%	4	23.07	770.63	7424.72	15.38	36.86
15%	5	23.07	785.7	7424.77	15.65	36.86
25%	1	31.59	886.33	7424.88	28.3	36.86
25%	2	30.09	817.73	7425.02	16.02	36.86
25%	3	28.25	794.53	7425.05	15.64	36.86
25%	4	30.11	791.34	7425.09	15.77	36.86
25%	5	28.08	804.2	7425.15	16.35	36.86
50%	1	158.08	957.58	7425.49	32.57	36.86
50%	2	145.57	908.96	7480.82	35.22	36.86
50%	3	152.26	974.61	7583.7	40.12	36.86
50%	4	136.11	941.14	7583.87	38.88	36.86
50%	5	135.1	947.12	7583.97	39.15	36.86
75%	1	164.44	952.93	7584.49	36.76	36.86
75%	2	170.87	947.04	7621.24	36.87	36.86
75%	3	167.66	919.48	7687.24	35.72	36.86
75%	4	168.97	902.57	7761.17	37.35	36.86
75%	5	198.7	913.63	7761.71	37.08	36.86
100%	1	189.83	954.37	7762.64	37	36.86
100%	2	184.78	950.27	7773.09	36.92	36.86
100%	3	186.8	947.35	7781.46	37.57	36.86
100%	4	183.76	942.92	7790.18	37.29	36.86
100%	5	266.71	935.58	7801.92	37.63	36.86
