Fracionamento	Réplica	Tempo(s)	Memória(MB)	Disco(MB)	CPU(%)	Rede(MB)
5%	1	46.12	494.35	4696.94	17.49	120.18
5%	2	45.12	497.56	4696.96	16.8	120.18
5%	3	45.12	486.7	4697.01	17.6	120.18
5%	4	45.13	494.78	4697.08	20.2	120.18
5%	5	47.14	486.37	4697.1	17.45	120.18
15%	1	170.85	469.97	4697.22	22.1	120.18
15%	2	148.4	484.35	4697.44	16.77	120.18
15%	3	147.39	477.67	4697.5	16.98	120.18
15%	4	146.38	484.57	4697.57	17.18	120.18
15%	5	146.37	482.52	4697.59	17.11	120.18
25%	1	305.79	468.48	4697.65	22.25	120.18
25%	2	306.79	468.82	4705.58	22.1	120.18
25%	3	271.7	474.86	4743.5	16.41	120.18
25%	4	274.78	477.58	4743.99	16.42	120.18
25%	5	270.72	480.96	4744.44	16.4	120.18
50%	1	643.7	467.48	4744.92	21.85	120.18
50%	2	636.54	470.01	4747.08	21.61	120.18
50%	3	638.65	470.96	4749.26	21.62	120.18
50%	4	656.76	471.73	4751.57	21.96	120.18
50%	5	665.73	472.26	4753.38	21.93	120.18
75%	1	917.55	473.77	4765.53	22.39	120.18
75%	2	906.36	472.91	4775.43	22.09	120.18
75%	3	908.33	472.94	4777.72	22.09	120.18
75%	4	912.46	472.91	4781.62	22.51	120.18
75%	5	924.38	473.21	4784.69	22.38	120.18
100%	1	1118.93	472.37	4786.91	22.39	120.18
100%	2	1116.89	473.07	4789.55	22.36	120.18
100%	3	1123.96	473.59	4791.41	22.42	120.18
100%	4	1121.95	473.71	4793.36	22.55	120.18
100%	5	1122.89	473.4	4795.59	22.44	120.18
